city,ward,issue_type,reported_date,acknowledged_date,action_start_date,resolved_date,status,resolution_time_days,source_file
bengaluru,yelahanka,pothole,2022-01-01,2022-01-02 00:00:00,2022-01-07 00:00:00,2022-01-14 00:00:00,resolved,13.0,bengaluru_civic_issues_v6.csv
bengaluru,jayanagar,pothole,2022-01-01,2022-01-04 00:00:00,unknown,unknown,acknowledged,22.0,bengaluru_civic_issues_v6.csv
bengaluru,btm layout,broken streetlight,2022-01-01,2022-01-03 00:00:00,unknown,unknown,acknowledged,22.0,bengaluru_civic_issues_v6.csv
bengaluru,whitefield,garbage overflow,2022-01-02,2022-01-03 00:00:00,unknown,unknown,acknowledged,22.0,bengaluru_civic_issues_v6.csv
bengaluru,indiranagar,broken streetlight,2022-01-02,2022-01-05 00:00:00,2022-01-10 00:00:00,2022-02-04 00:00:00,resolved,33.0,bengaluru_civic_issues_v6.csv
bengaluru,electronic city,pothole,2022-01-02,2022-01-02 00:00:00,2022-01-03 00:00:00,2022-01-21 00:00:00,resolved,19.0,bengaluru_civic_issues_v6.csv
bengaluru,btm layout,damaged footpath,2022-01-03,2022-01-05 00:00:00,2022-01-08 00:00:00,2022-01-18 00:00:00,resolved,15.0,bengaluru_civic_issues_v6.csv
bengaluru,whitefield,sewage issue,2022-01-03,unknown,unknown,unknown,ignored,22.0,bengaluru_civic_issues_v6.csv
bengaluru,electronic city,broken streetlight,2022-01-03,2022-01-04 00:00:00,2022-01-05 00:00:00,2022-01-25 00:00:00,resolved,22.0,bengaluru_civic_issues_v6.csv
bengaluru,electronic city,damaged footpath,2022-01-04,2022-01-04 00:00:00,unknown,unknown,acknowledged,22.0,bengaluru_civic_issues_v6.csv
bengaluru,indiranagar,pothole,2022-01-05,2022-01-07 00:00:00,unknown,unknown,acknowledged,22.0,bengaluru_civic_issues_v6.csv
bengaluru,electronic city,garbage overflow,2022-01-05,2022-01-08 00:00:00,2022-01-11 00:00:00,2022-02-02 00:00:00,resolved,28.0,bengaluru_civic_issues_v6.csv
bengaluru,jayanagar,broken streetlight,2022-01-05,2022-01-05 00:00:00,2022-01-09 00:00:00,2022-02-05 00:00:00,resolved,31.0,bengaluru_civic_issues_v6.csv
bengaluru,jayanagar,broken streetlight,2022-01-05,2022-01-05 00:00:00,2022-01-09 00:00:00,2022-01-22 00:00:00,resolved,17.0,bengaluru_civic_issues_v6.csv
bengaluru,indiranagar,garbage overflow,2022-01-05,2022-01-07 00:00:00,unknown,unknown,acknowledged,22.0,bengaluru_civic_issues_v6.csv
bengaluru,whitefield,water supply issue,2022-01-05,2022-01-06 00:00:00,2022-01-07 00:00:00,2022-01-14 00:00:00,resolved,9.0,bengaluru_civic_issues_v6.csv
bengaluru,jayanagar,water supply issue,2022-01-06,2022-01-06 00:00:00,2022-01-09 00:00:00,2022-01-13 00:00:00,resolved,7.0,bengaluru_civic_issues_v6.csv
bengaluru,btm layout,sewage issue,2022-01-06,2022-01-06 00:00:00,2022-01-08 00:00:00,2022-02-11 00:00:00,resolved,36.0,bengaluru_civic_issues_v6.csv
bengaluru,jayanagar,water supply issue,2022-01-06,2022-01-07 00:00:00,2022-01-09 00:00:00,2022-01-14 00:00:00,resolved,8.0,bengaluru_civic_issues_v6.csv
bengaluru,yelahanka,water supply issue,2022-01-06,2022-01-06 00:00:00,2022-01-08 00:00:00,2022-01-16 00:00:00,resolved,10.0,bengaluru_civic_issues_v6.csv
bengaluru,yelahanka,damaged footpath,2022-01-06,2022-01-06 00:00:00,2022-01-10 00:00:00,unknown,in progress,22.0,bengaluru_civic_issues_v6.csv
bengaluru,whitefield,broken streetlight,2022-01-07,2022-01-09 00:00:00,unknown,unknown,acknowledged,22.0,bengaluru_civic_issues_v6.csv
bengaluru,btm layout,garbage overflow,2022-01-07,2022-01-10 00:00:00,unknown,unknown,acknowledged,22.0,bengaluru_civic_issues_v6.csv
bengaluru,jayanagar,pothole,2022-01-07,2022-01-07 00:00:00,2022-01-08 00:00:00,2022-01-26 00:00:00,resolved,19.0,bengaluru_civic_issues_v6.csv
bengaluru,whitefield,water supply issue,2022-01-07,2022-01-07 00:00:00,unknown,unknown,acknowledged,22.0,bengaluru_civic_issues_v6.csv
bengaluru,yelahanka,sewage issue,2022-01-07,2022-01-07 00:00:00,2022-01-08 00:00:00,2022-01-29 00:00:00,resolved,22.0,bengaluru_civic_issues_v6.csv
bengaluru,electronic city,damaged footpath,2022-01-08,2022-01-08 00:00:00,2022-01-09 00:00:00,2022-01-23 00:00:00,resolved,15.0,bengaluru_civic_issues_v6.csv
