city,ward,issue_type,reported_date,acknowledged_date,action_start_date,resolved_date,status,resolution_time_days
Chennai,Anna Nagar,Sewage Issue,2022-01-01,2022-01-02 00:00:00,,,Acknowledged,
Chennai,Tambaram,Water Supply Issue,2022-01-01,2022-01-02 00:00:00,2022-01-05 00:00:00,2022-01-11 00:00:00,Resolved,10
Chennai,T Nagar,Garbage Overflow,2022-01-01,2022-01-02 00:00:00,2022-01-05 00:00:00,2022-01-24 00:00:00,Resolved,23
Chennai,T Nagar,Broken Streetlight,2022-01-02,2022-01-04 00:00:00,2022-01-05 00:00:00,2022-01-19 00:00:00,Resolved,17
Chennai,Anna Nagar,Broken Streetlight,2022-01-02,2022-01-02 00:00:00,2022-01-03 00:00:00,2022-01-15 00:00:00,Resolved,13
Chennai,Adyar,Garbage Overflow,2022-01-02,2022-01-02 00:00:00,,,Acknowledged,
Chennai,Adyar,Broken Streetlight,2022-01-02,2022-01-04 00:00:00,2022-01-07 00:00:00,2022-02-04 00:00:00,Resolved,33
Chennai,Adyar,Water Supply Issue,2022-01-03,2022-01-04 00:00:00,2022-01-05 00:00:00,2022-01-14 00:00:00,Resolved,11
Chennai,T Nagar,Sewage Issue,2022-01-03,2022-01-06 00:00:00,2022-01-07 00:00:00,2022-02-05 00:00:00,Resolved,33
Chennai,Tambaram,Broken Streetlight,2022-01-03,2022-01-06 00:00:00,2022-01-07 00:00:00,2022-02-03 00:00:00,Resolved,31
Chennai,Adyar,Damaged Footpath,2022-01-03,2022-01-04 00:00:00,2022-01-07 00:00:00,2022-02-21 00:00:00,Resolved,49
Chennai,Tambaram,Damaged Footpath,2022-01-04,2022-01-06 00:00:00,2022-01-08 00:00:00,2022-02-08 00:00:00,Resolved,35
Chennai,Tambaram,Sewage Issue,2022-01-05,2022-01-05 00:00:00,2022-01-06 00:00:00,2022-01-20 00:00:00,Resolved,15
Chennai,T Nagar,Damaged Footpath,2022-01-05,2022-01-08 00:00:00,2022-01-11 00:00:00,2022-01-28 00:00:00,Resolved,23
Chennai,Adyar,Damaged Footpath,2022-01-05,2022-01-08 00:00:00,,,Acknowledged,
Chennai,Adyar,Damaged Footpath,2022-01-06,2022-01-09 00:00:00,2022-01-11 00:00:00,2022-02-17 00:00:00,Resolved,42
Chennai,Adyar,Damaged Footpath,2022-01-06,2022-01-08 00:00:00,2022-01-09 00:00:00,2022-02-08 00:00:00,Resolved,33
Chennai,T Nagar,Pothole,2022-01-06,2022-01-07 00:00:00,2022-01-12 00:00:00,2022-01-23 00:00:00,Resolved,17
Chennai,Velachery,Sewage Issue,2022-01-06,2022-01-09 00:00:00,2022-01-12 00:00:00,,In Progress,
Chennai,T Nagar,Pothole,2022-01-06,2022-01-08 00:00:00,2022-01-11 00:00:00,2022-02-07 00:00:00,Resolved,32
Chennai,Velachery,Water Supply Issue,2022-01-06,2022-01-09 00:00:00,,,Acknowledged,
Chennai,Anna Nagar,Broken Streetlight,2022-01-07,2022-01-09 00:00:00,2022-01-12 00:00:00,2022-01-21 00:00:00,Resolved,14
Chennai,Adyar,Damaged Footpath,2022-01-08,2022-01-09 00:00:00,2022-01-14 00:00:00,2022-02-20 00:00:00,Resolved,43
Chennai,Velachery,Broken Streetlight,2022-01-08,2022-01-11 00:00:00,2022-01-13 00:00:00,2022-01-26 00:00:00,Resolved,18
Chennai,Adyar,Damaged Footpath,2022-01-08,2022-01-09 00:00:00,2022-01-10 00:00:00,2022-02-10 00:00:00,Resolved,33
Chennai,Tambaram,Water Supply Issue,2022-01-08,2022-01-09 00:00:00,2022-01-13 00:00:00,2022-01-20 00:00:00,Resolved,12
Chennai,T Nagar,Sewage Issue,2022-01-08,2022-01-09 00:00:00,2022-01-13 00:00:00,2022-02-14 00:00:00,Resolved,37
Chennai,T Nagar,Pothole,2022-01-08,2022-01-10 00:00:00,2022-01-11 00:00:00,2022-02-03 00:00:00,Resolved,26
Chennai,Anna Nagar,Broken Streetlight,2022-01-08,2022-01-11 00:00:00,,,Acknowledged,
Chennai,Tambaram,Water Supply Issue,2022-01-08,2022-01-10 00:00:00,2022-01-12 00:00:00,2022-01-18 00:00:00,Resolved,10
Chennai,T Nagar,Pothole,2022-01-09,2022-01-09 00:00:00,,,Acknowledged,
Chennai,Velachery,Sewage Issue,2022-01-09,2022-01-11 00:00:00,2022-01-15 00:00:00,2022-01-30 00:00:00,Resolved,21
Chennai,Anna Nagar,Sewage Issue,2022-01-10,2022-01-10 00:00:00,2022-01-13 00:00:00,2022-02-21 00:00:00,Resolved,42
Chennai,Anna Nagar,Broken Streetlight,2022-01-10,2022-01-10 00:00:00,2022-01-11 00:00:00,2022-02-06 00:00:00,Resolved,27
