city,ward,issue_type,reported_date,acknowledged_date,action_start_date,resolved_date,status,resolution_time_days
Delhi,Dwarka,Broken Streetlight,2022-01-02,2022-01-03 00:00:00,,,Acknowledged,
Delhi,Dwarka,Pothole,2022-01-02,2022-01-04 00:00:00,2022-01-05 00:00:00,2022-01-27 00:00:00,Resolved,25
Delhi,Rohini,Pothole,2022-01-02,2022-01-05 00:00:00,2022-01-10 00:00:00,2022-01-16 00:00:00,Resolved,14
Delhi,North Delhi,Sewage Issue,2022-01-02,2022-01-05 00:00:00,2022-01-09 00:00:00,2022-01-29 00:00:00,Resolved,27
Delhi,South Delhi,Damaged Footpath,2022-01-02,2022-01-05 00:00:00,,,Acknowledged,
Delhi,Dwarka,Water Supply Issue,2022-01-03,2022-01-06 00:00:00,,,Acknowledged,
Delhi,North Delhi,Water Supply Issue,2022-01-03,2022-01-03 00:00:00,2022-01-08 00:00:00,2022-01-16 00:00:00,Resolved,13
Delhi,Rohini,Sewage Issue,2022-01-03,2022-01-03 00:00:00,2022-01-08 00:00:00,,In Progress,
Delhi,South Delhi,Pothole,2022-01-04,2022-01-04 00:00:00,2022-01-05 00:00:00,2022-01-23 00:00:00,Resolved,19
Delhi,Dwarka,Pothole,2022-01-04,2022-01-07 00:00:00,,,Acknowledged,
Delhi,Central Delhi,Pothole,2022-01-04,2022-01-07 00:00:00,2022-01-08 00:00:00,2022-02-05 00:00:00,Resolved,32
Delhi,West Delhi,Pothole,2022-01-05,2022-01-05 00:00:00,2022-01-06 00:00:00,,In Progress,
Delhi,South Delhi,Pothole,2022-01-05,2022-01-08 00:00:00,,,Acknowledged,
Delhi,South Delhi,Pothole,2022-01-05,,,,Ignored,
Delhi,South Delhi,Damaged Footpath,2022-01-05,2022-01-06 00:00:00,,,Acknowledged,
Delhi,West Delhi,Broken Streetlight,2022-01-05,2022-01-07 00:00:00,2022-01-10 00:00:00,,In Progress,
Delhi,East Delhi,Water Supply Issue,2022-01-06,2022-01-09 00:00:00,2022-01-14 00:00:00,2022-01-21 00:00:00,Resolved,15
Delhi,East Delhi,Sewage Issue,2022-01-06,2022-01-09 00:00:00,2022-01-10 00:00:00,2022-02-17 00:00:00,Resolved,42
Delhi,Dwarka,Garbage Overflow,2022-01-06,2022-01-09 00:00:00,2022-01-12 00:00:00,2022-01-24 00:00:00,Resolved,18
Delhi,East Delhi,Pothole,2022-01-06,2022-01-09 00:00:00,,,Acknowledged,
Delhi,Central Delhi,Water Supply Issue,2022-01-07,2022-01-09 00:00:00,2022-01-13 00:00:00,2022-01-22 00:00:00,Resolved,15
Delhi,South Delhi,Pothole,2022-01-07,2022-01-10 00:00:00,2022-01-13 00:00:00,2022-02-12 00:00:00,Resolved,36
Delhi,Rohini,Garbage Overflow,2022-01-07,2022-01-08 00:00:00,2022-01-11 00:00:00,2022-01-20 00:00:00,Resolved,13
Delhi,South Delhi,Pothole,2022-01-07,2022-01-08 00:00:00,2022-01-09 00:00:00,2022-02-01 00:00:00,Resolved,25
Delhi,Dwarka,Damaged Footpath,2022-01-07,,,,Ignored,
Delhi,West Delhi,Pothole,2022-01-07,2022-01-09 00:00:00,,,Acknowledged,
Delhi,Dwarka,Broken Streetlight,2022-01-08,,,,Ignored,
Delhi,Dwarka,Pothole,2022-01-08,,,,Ignored,
Delhi,Dwarka,Broken Streetlight,2022-01-09,2022-01-12 00:00:00,2022-01-16 00:00:00,2022-02-03 00:00:00,Resolved,25
Delhi,South Delhi,Garbage Overflow,2022-01-09,,,,Ignored,
Delhi,Dwarka,Broken Streetlight,2022-01-09,,,,Ignored,
Delhi,South Delhi,Garbage Overflow,2022-01-10,2022-01-13 00:00:00,2022-01-18 00:00:00,2022-02-17 00:00:00,Resolved,38
Delhi,Central Delhi,Pothole,2022-01-10,2022-01-11 00:00:00,,,Acknowledged,
Delhi,South Delhi,Pothole,2022-01-10,2022-01-12 00:00:00,2022-01-16 00:00:00,,In Progress,
Delhi,Dwarka,Water Supply Issue,2022-01-10,,,,Ignored,
Delhi,East Delhi,Pothole,2022-01-10,2022-01-11 00:00:00,2022-01-12 00:00:00,2022-01-25 00:00:00,Resolved,15
Delhi,Central Delhi,Garbage Overflow,2022-01-10,2022-01-10 00:00:00,2022-01-13 00:00:00,2022-02-01 00:00:00,Resolved,22
Delhi,South Delhi,Pothole,2022-01-11,2022-01-14 00:00:00,2022-01-15 00:00:00,2022-02-01 00:00:00,Resolved,21
