city,ward,issue_type,reported_date,acknowledged_date,action_start_date,resolved_date,status,resolution_time_days
Hyderabad,Kukatpally,Water Supply Issue,2022-01-01,2022-01-01 00:00:00,2022-01-04 00:00:00,2022-01-11 00:00:00,Resolved,10
Hyderabad,Kukatpally,Pothole,2022-01-01,2022-01-02 00:00:00,2022-01-06 00:00:00,2022-01-20 00:00:00,Resolved,19
Hyderabad,Gachibowli,Broken Streetlight,2022-01-02,2022-01-03 00:00:00,2022-01-05 00:00:00,2022-01-19 00:00:00,Resolved,17
Hyderabad,Gachibowli,Damaged Footpath,2022-01-02,2022-01-02 00:00:00,2022-01-05 00:00:00,2022-02-11 00:00:00,Resolved,40
Hyderabad,Secunderabad,Water Supply Issue,2022-01-02,2022-01-04 00:00:00,2022-01-05 00:00:00,2022-01-10 00:00:00,Resolved,8
Hyderabad,Madhapur,Broken Streetlight,2022-01-03,2022-01-06 00:00:00,2022-01-07 00:00:00,2022-01-21 00:00:00,Resolved,18
Hyderabad,Gachibowli,Damaged Footpath,2022-01-03,2022-01-04 00:00:00,2022-01-09 00:00:00,2022-01-22 00:00:00,Resolved,19
Hyderabad,Kukatpally,Pothole,2022-01-03,2022-01-06 00:00:00,2022-01-10 00:00:00,2022-01-20 00:00:00,Resolved,17
Hyderabad,Madhapur,Damaged Footpath,2022-01-03,2022-01-03 00:00:00,2022-01-04 00:00:00,,In Progress,
Hyderabad,Kukatpally,Garbage Overflow,2022-01-03,2022-01-05 00:00:00,2022-01-07 00:00:00,2022-01-19 00:00:00,Resolved,16
Hyderabad,Secunderabad,Broken Streetlight,2022-01-04,2022-01-06 00:00:00,2022-01-07 00:00:00,2022-02-04 00:00:00,Resolved,31
Hyderabad,Secunderabad,Water Supply Issue,2022-01-04,2022-01-05 00:00:00,2022-01-06 00:00:00,2022-01-12 00:00:00,Resolved,8
Hyderabad,Gachibowli,Damaged Footpath,2022-01-04,2022-01-04 00:00:00,2022-01-07 00:00:00,2022-01-23 00:00:00,Resolved,19
Hyderabad,Gachibowli,Broken Streetlight,2022-01-05,2022-01-07 00:00:00,2022-01-08 00:00:00,2022-01-14 00:00:00,Resolved,9
Hyderabad,LB Nagar,Broken Streetlight,2022-01-05,2022-01-06 00:00:00,2022-01-11 00:00:00,2022-01-27 00:00:00,Resolved,22
Hyderabad,Secunderabad,Sewage Issue,2022-01-05,2022-01-07 00:00:00,2022-01-10 00:00:00,,In Progress,
Hyderabad,Secunderabad,Pothole,2022-01-05,2022-01-06 00:00:00,2022-01-10 00:00:00,2022-01-30 00:00:00,Resolved,25
Hyderabad,Gachibowli,Sewage Issue,2022-01-05,2022-01-05 00:00:00,2022-01-09 00:00:00,2022-02-08 00:00:00,Resolved,34
Hyderabad,Kukatpally,Garbage Overflow,2022-01-06,2022-01-07 00:00:00,2022-01-08 00:00:00,2022-01-31 00:00:00,Resolved,25
Hyderabad,Gachibowli,Garbage Overflow,2022-01-06,2022-01-06 00:00:00,2022-01-11 00:00:00,2022-02-10 00:00:00,Resolved,35
Hyderabad,Secunderabad,Pothole,2022-01-06,2022-01-09 00:00:00,2022-01-11 00:00:00,2022-01-21 00:00:00,Resolved,15
Hyderabad,Madhapur,Broken Streetlight,2022-01-07,2022-01-10 00:00:00,2022-01-15 00:00:00,2022-02-13 00:00:00,Resolved,37
Hyderabad,Kukatpally,Broken Streetlight,2022-01-07,2022-01-07 00:00:00,2022-01-12 00:00:00,2022-01-19 00:00:00,Resolved,12
Hyderabad,Madhapur,Water Supply Issue,2022-01-07,2022-01-08 00:00:00,2022-01-13 00:00:00,2022-01-17 00:00:00,Resolved,10
Hyderabad,Madhapur,Damaged Footpath,2022-01-07,2022-01-09 00:00:00,2022-01-12 00:00:00,2022-02-25 00:00:00,Resolved,49
Hyderabad,Gachibowli,Water Supply Issue,2022-01-09,2022-01-12 00:00:00,2022-01-15 00:00:00,2022-01-24 00:00:00,Resolved,15
Hyderabad,Gachibowli,Pothole,2022-01-09,2022-01-11 00:00:00,2022-01-15 00:00:00,2022-02-14 00:00:00,Resolved,36
Hyderabad,Secunderabad,Sewage Issue,2022-01-09,2022-01-10 00:00:00,2022-01-13 00:00:00,2022-01-28 00:00:00,Resolved,19
Hyderabad,Madhapur,Damaged Footpath,2022-01-09,2022-01-11 00:00:00,2022-01-16 00:00:00,2022-02-16 00:00:00,Resolved,38
Hyderabad,LB Nagar,Pothole,2022-01-10,2022-01-10 00:00:00,2022-01-11 00:00:00,,In Progress,
Hyderabad,Kukatpally,Sewage Issue,2022-01-11,2022-01-13 00:00:00,2022-01-14 00:00:00,2022-02-27 00:00:00,Resolved,47
Hyderabad,Secunderabad,Pothole,2022-01-11,2022-01-11 00:00:00,2022-01-13 00:00:00,2022-02-02 00:00:00,Resolved,22
Hyderabad,Secunderabad,Broken Streetlight,2022-01-11,2022-01-12 00:00:00,2022-01-14 00:00:00,2022-02-08 00:00:00,Resolved,28
Hyderabad,Secunderabad,Pothole,2022-01-11,2022-01-12 00:00:00,2022-01-15 00:00:00,2022-02-06 00:00:00,Resolved,26
Hyderabad,Madhapur,Garbage Overflow,2022-01-12,2022-01-12 00:00:00,2022-01-15 00:00:00,2022-02-05 00:00:00,Resolved,24
Hyderabad,Kukatpally,Damaged Footpath,2022-01-14,2022-01-15 00:00:00,2022-01-16 00:00:00,2022-01-28 00:00:00,Resolved,14
Hyderabad,Madhapur,Garbage Overflow,2022-01-14,2022-01-15 00:00:00,2022-01-18 00:00:00,2022-02-01 00:00:00,Resolved,18
Hyderabad,LB Nagar,Sewage Issue,2022-01-14,2022-01-14 00:00:00,2022-01-17 00:00:00,2022-02-20 00:00:00,Resolved,37
Hyderabad,LB Nagar,Sewage Issue,2022-01-14,2022-01-16 00:00:00,2022-01-20 00:00:00,2022-02-10 00:00:00,Resolved,27
Hyderabad,Madhapur,Broken Streetlight,2022-01-14,2022-01-17 00:00:00,2022-01-22 00:00:00,2022-02-17 00:00:00,Resolved,34
Hyderabad,Madhapur,Pothole,2022-01-15,2022-01-16 00:00:00,2022-01-21 00:00:00,2022-02-12 00:00:00,Resolved,28
Hyderabad,Kukatpally,Water Supply Issue,2022-01-15,2022-01-17 00:00:00,2022-01-18 00:00:00,2022-01-21 00:00:00,Resolved,6
Hyderabad,LB Nagar,Water Supply Issue,2022-01-15,2022-01-17 00:00:00,,,Acknowledged,
Hyderabad,LB Nagar,Garbage Overflow,2022-01-15,2022-01-17 00:00:00,2022-01-21 00:00:00,2022-02-03 00:00:00,Resolved,19
Hyderabad,Madhapur,Damaged Footpath,2022-01-15,2022-01-18 00:00:00,2022-01-19 00:00:00,2022-03-04 00:00:00,Resolved,48
Hyderabad,Madhapur,Garbage Overflow,2022-01-15,2022-01-15 00:00:00,2022-01-19 00:00:00,2022-01-26 00:00:00,Resolved,11
Hyderabad,Secunderabad,Sewage Issue,2022-01-15,2022-01-16 00:00:00,2022-01-17 00:00:00,2022-02-13 00:00:00,Resolved,29
Hyderabad,LB Nagar,Broken Streetlight,2022-01-16,2022-01-19 00:00:00,2022-01-21 00:00:00,2022-01-28 00:00:00,Resolved,12
Hyderabad,Kukatpally,Damaged Footpath,2022-01-16,2022-01-19 00:00:00,2022-01-23 00:00:00,,In Progress,
Hyderabad,Madhapur,Pothole,2022-01-16,2022-01-19 00:00:00,2022-01-21 00:00:00,2022-02-20 00:00:00,Resolved,35
Hyderabad,Secunderabad,Water Supply Issue,2022-01-17,2022-01-18 00:00:00,,,Acknowledged,
Hyderabad,LB Nagar,Damaged Footpath,2022-01-18,2022-01-20 00:00:00,,,Acknowledged,
Hyderabad,Madhapur,Pothole,2022-01-18,2022-01-18 00:00:00,2022-01-21 00:00:00,2022-02-12 00:00:00,Resolved,25
Hyderabad,Secunderabad,Pothole,2022-01-18,2022-01-20 00:00:00,,,Acknowledged,
Hyderabad,Madhapur,Pothole,2022-01-18,2022-01-21 00:00:00,2022-01-24 00:00:00,2022-01-31 00:00:00,Resolved,13
Hyderabad,Gachibowli,Pothole,2022-01-19,2022-01-20 00:00:00,2022-01-23 00:00:00,2022-01-31 00:00:00,Resolved,12
Hyderabad,Kukatpally,Garbage Overflow,2022-01-19,2022-01-20 00:00:00,2022-01-25 00:00:00,2022-02-10 00:00:00,Resolved,22
Hyderabad,Kukatpally,Damaged Footpath,2022-01-19,2022-01-19 00:00:00,2022-01-21 00:00:00,2022-02-15 00:00:00,Resolved,27
Hyderabad,Secunderabad,Water Supply Issue,2022-01-19,2022-01-21 00:00:00,2022-01-26 00:00:00,2022-02-04 00:00:00,Resolved,16
Hyderabad,Secunderabad,Broken Streetlight,2022-01-20,2022-01-21 00:00:00,2022-01-22 00:00:00,2022-01-28 00:00:00,Resolved,8
