city,ward,issue_type,reported_date,acknowledged_date,action_start_date,resolved_date,status,resolution_time_days
Mumbai,Bandra West,Broken Streetlight,2022-01-01,2022-01-02 00:00:00,2022-01-07 00:00:00,2022-01-13 00:00:00,Resolved,12
Mumbai,Bandra West,Pothole,2022-01-02,2022-01-05 00:00:00,2022-01-06 00:00:00,2022-01-29 00:00:00,Resolved,27
Mumbai,Ghatkopar,Water Supply Issue,2022-01-02,2022-01-04 00:00:00,2022-01-06 00:00:00,2022-01-12 00:00:00,Resolved,10
Mumbai,Borivali,Damaged Footpath,2022-01-02,2022-01-02 00:00:00,2022-01-04 00:00:00,,In Progress,
Mumbai,Dadar,Sewage Issue,2022-01-02,2022-01-04 00:00:00,,,Acknowledged,
Mumbai,Andheri West,Sewage Issue,2022-01-02,2022-01-05 00:00:00,2022-01-08 00:00:00,2022-02-20 00:00:00,Resolved,49
Mumbai,Andheri East,Pothole,2022-01-02,2022-01-04 00:00:00,2022-01-09 00:00:00,2022-01-17 00:00:00,Resolved,15
Mumbai,Andheri West,Broken Streetlight,2022-01-02,2022-01-04 00:00:00,,,Acknowledged,
Mumbai,Andheri East,Pothole,2022-01-03,2022-01-06 00:00:00,2022-01-10 00:00:00,,In Progress,
Mumbai,Bandra West,Broken Streetlight,2022-01-03,2022-01-05 00:00:00,2022-01-07 00:00:00,2022-02-02 00:00:00,Resolved,30
Mumbai,Andheri East,Broken Streetlight,2022-01-03,2022-01-06 00:00:00,2022-01-07 00:00:00,2022-01-13 00:00:00,Resolved,10
Mumbai,Bandra West,Sewage Issue,2022-01-03,2022-01-06 00:00:00,2022-01-07 00:00:00,2022-01-23 00:00:00,Resolved,20
Mumbai,Andheri West,Sewage Issue,2022-01-03,2022-01-03 00:00:00,,,Acknowledged,
Mumbai,Borivali,Damaged Footpath,2022-01-03,2022-01-06 00:00:00,2022-01-10 00:00:00,2022-01-23 00:00:00,Resolved,20
Mumbai,Kurla,Sewage Issue,2022-01-04,2022-01-05 00:00:00,2022-01-10 00:00:00,2022-01-23 00:00:00,Resolved,19
Mumbai,Borivali,Garbage Overflow,2022-01-04,2022-01-06 00:00:00,2022-01-11 00:00:00,2022-01-31 00:00:00,Resolved,27
Mumbai,Kurla,Broken Streetlight,2022-01-05,2022-01-07 00:00:00,2022-01-09 00:00:00,2022-01-31 00:00:00,Resolved,26
Mumbai,Andheri East,Pothole,2022-01-05,2022-01-07 00:00:00,2022-01-11 00:00:00,2022-01-19 00:00:00,Resolved,14
Mumbai,Bandra East,Water Supply Issue,2022-01-05,2022-01-06 00:00:00,,,Acknowledged,
