city,ward,issue_type,reported_date,acknowledged_date,action_start_date,resolved_date,status,resolution_time_days
Bengaluru,Yelahanka,Pothole,2022-01-01,2022-01-02 00:00:00,2022-01-07 00:00:00,2022-01-14 00:00:00,Resolved,13
Bengaluru,Jayanagar,Pothole,2022-01-01,2022-01-04 00:00:00,,,Acknowledged,
Bengaluru,BTM Layout,Broken Streetlight,2022-01-01,2022-01-03 00:00:00,,,Acknowledged,
Bengaluru,Whitefield,Garbage Overflow,2022-01-02,2022-01-03 00:00:00,,,Acknowledged,
Bengaluru,Indiranagar,Broken Streetlight,2022-01-02,2022-01-05 00:00:00,2022-01-10 00:00:00,2022-02-04 00:00:00,Resolved,33
Bengaluru,Electronic City,Pothole,2022-01-02,2022-01-02 00:00:00,2022-01-03 00:00:00,2022-01-21 00:00:00,Resolved,19
Bengaluru,BTM Layout,Damaged Footpath,2022-01-03,2022-01-05 00:00:00,2022-01-08 00:00:00,2022-01-18 00:00:00,Resolved,15
Bengaluru,Whitefield,Sewage Issue,2022-01-03,,,,Ignored,
Bengaluru,Electronic City,Broken Streetlight,2022-01-03,2022-01-04 00:00:00,2022-01-05 00:00:00,2022-01-25 00:00:00,Resolved,22
Bengaluru,Electronic City,Damaged Footpath,2022-01-04,2022-01-04 00:00:00,,,Acknowledged,
Bengaluru,Indiranagar,Pothole,2022-01-05,2022-01-07 00:00:00,,,Acknowledged,
Bengaluru,Electronic City,Garbage Overflow,2022-01-05,2022-01-08 00:00:00,2022-01-11 00:00:00,2022-02-02 00:00:00,Resolved,28
Bengaluru,Jayanagar,Broken Streetlight,2022-01-05,2022-01-05 00:00:00,2022-01-09 00:00:00,2022-02-05 00:00:00,Resolved,31
Bengaluru,Jayanagar,Broken Streetlight,2022-01-05,2022-01-05 00:00:00,2022-01-09 00:00:00,2022-01-22 00:00:00,Resolved,17
Bengaluru,Indiranagar,Garbage Overflow,2022-01-05,2022-01-07 00:00:00,,,Acknowledged,
Bengaluru,Whitefield,Water Supply Issue,2022-01-05,2022-01-06 00:00:00,2022-01-07 00:00:00,2022-01-14 00:00:00,Resolved,9
Bengaluru,Jayanagar,Water Supply Issue,2022-01-06,2022-01-06 00:00:00,2022-01-09 00:00:00,2022-01-13 00:00:00,Resolved,7
